 alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.217186   0.002801   0.007123   0.009924  -0.000000   0.000000   0.053841  -0.000000   0.000000   40.0000     0.0593
   -2.500     0.000  -0.181560   0.001958   0.007093   0.009051   0.000000   0.000000   0.045338  -0.000000  -0.000000   40.0000     0.0598
   -2.000     0.000  -0.145901   0.001264   0.007065   0.008329   0.000000   0.000000   0.036821  -0.000000  -0.000000   40.0000     0.0604
   -1.500     0.000  -0.110214   0.000722   0.007076   0.007798   0.000000   0.000000   0.028294  -0.000000   0.000000   40.0000     0.0614
   -1.000     0.000  -0.074507   0.000330   0.007040   0.007370   0.000000   0.000000   0.019759  -0.000000  -0.000000   40.0000     0.0634
   -0.500     0.000  -0.038786   0.000090   0.007025   0.007115   0.000000   0.000000   0.011219  -0.000000   0.000000   40.0000     0.0692
    0.000     0.000  -0.003057   0.000001   0.007043   0.007044  -0.000000   0.000000   0.002676  -0.000000   0.000000   40.0000     0.2099
    0.500     0.000   0.032672   0.000063   0.007031   0.007094  -0.000000   0.000000  -0.005868  -0.000000  -0.000000   40.0000     0.0429
    1.000     0.000   0.068395   0.000277   0.007038   0.007315  -0.000000   0.000000  -0.014409  -0.000000   0.000000   40.0000     0.0503
    1.500     0.000   0.104105   0.000643   0.007060   0.007703  -0.000000  -0.000000  -0.022945  -0.000000   0.000000   40.0000     0.0527
    2.000     0.000   0.139795   0.001159   0.007078   0.008237  -0.000000  -0.000000  -0.031473  -0.000000   0.000000   40.0000     0.0538
    2.500     0.000   0.175460   0.001826   0.007091   0.008917  -0.000000  -0.000000  -0.039992  -0.000000   0.000000   40.0000     0.0545
    3.000     0.000   0.211091   0.002643   0.007115   0.009758  -0.000000  -0.000000  -0.048498  -0.000000   0.000000   40.0000     0.0550
    3.500     0.000   0.246683   0.003610   0.007148   0.010758  -0.000000  -0.000000  -0.056989  -0.000000  -0.000000   40.0000     0.0553
    4.000     0.000   0.282229   0.004725   0.007157   0.011882  -0.000000  -0.000000  -0.065461  -0.000000  -0.000000   40.0000     0.0556
    4.500     0.000   0.317723   0.005988   0.007185   0.013173  -0.000000  -0.000000  -0.073914  -0.000000  -0.000000   40.0000     0.0558
    5.000     0.000   0.353157   0.007399   0.007229   0.014628  -0.000000  -0.000000  -0.082344  -0.000000  -0.000000   40.0000     0.0559
    5.500     0.000   0.388525   0.008955   0.007291   0.016246   0.000000  -0.000000  -0.090749  -0.000000  -0.000000   40.0000     0.0561
    6.000     0.000   0.423821   0.010656   0.007393   0.018049   0.000000  -0.000000  -0.099127  -0.000000   0.000000   40.0000     0.0562
    6.500     0.000   0.459038   0.012500   0.007700   0.020200  -0.000000   0.000000  -0.107480  -0.000000   0.000000   40.0000     0.0563
    7.000     0.000   0.494170   0.014486   0.008513   0.022999   0.000000   0.000000  -0.115818  -0.000000  -0.000000   40.0000     0.0564
    7.500     0.000   0.529210   0.016613   0.009352   0.025964  -0.000000  -0.000000  -0.124124  -0.000000   0.000000   40.0000     0.0565
    8.000     0.000   0.564152   0.018878   0.010065   0.028943  -0.000000   0.000000  -0.132391  -0.000000  -0.000000   40.0000     0.0566
    8.500     0.000   0.598990   0.021281   0.010724   0.032005  -0.000000  -0.000000  -0.140618  -0.000000  -0.000000   40.0000     0.0567
    9.000     0.000   0.633717   0.023819   0.011360   0.035178  -0.000000  -0.000000  -0.148804  -0.000000  -0.000000   40.0000     0.0568
    9.500     0.000   0.668328   0.026490   0.011992   0.038482  -0.000000  -0.000000  -0.156947  -0.000000  -0.000000   40.0000     0.0568
   10.000     0.000   0.702815   0.029292   0.012637   0.041929  -0.000000  -0.000000  -0.165044  -0.000000  -0.000000   40.0000     0.0569
   10.500     0.000   0.737174   0.032224   0.013286   0.045510   0.000000  -0.000000  -0.173094  -0.000000   0.000000   40.0000     0.0570
   11.000     0.000   0.771397   0.035283   0.014001   0.049283  -0.000000  -0.000000  -0.181097  -0.000000  -0.000000   40.0000     0.0571
   11.500     0.000   0.805480   0.038466   0.014960   0.053425   0.000000  -0.000000  -0.189059   0.000000   0.000000   40.0000     0.0571
   12.000     0.000   0.839415   0.041771   0.016402   0.058173   0.000000  -0.000000  -0.196993   0.000000  -0.000000   40.0000     0.0572
   12.500     0.000   0.873198   0.045196   0.017979   0.063174  -0.000000   0.000000  -0.204880   0.000000  -0.000000   40.0000     0.0573
   13.000     0.000   0.906823   0.048737   0.019734   0.068471  -0.000000  -0.000000  -0.212721   0.000000  -0.000000   40.0000     0.0574
   13.500     0.000   0.940283   0.052393   0.021802   0.074196   0.000000  -0.000000  -0.220523   0.000000   0.000000   40.0000     0.0574
   14.000     0.000   0.973573   0.056161   0.024664   0.080825  -0.000000   0.000000  -0.228315   0.000000   0.000000   40.0000     0.0575
